# Constructed from biom file
OTUID	amostra1	amostra2	amostra3	amostra4
98f253573f4c4c41f59322485c7b5e9f	234.0	0.0	215.0	0.0
89bb116546ee99b1e2f9b9018d9a9637	0.0	288.0	0.0	154.0
0882f3a9ce83af2c021405e517603a0c	228.0	0.0	212.0	0.0
96c21dd299fdded3a9c265608a29fafd	158.0	0.0	280.0	0.0
f9284c47b6d0be55013dee02f25fdf99	434.0	0.0	0.0	0.0
380dd0f6882c618d853f3060f5a0526e	172.0	0.0	262.0	0.0
d42423676386218711ae8eaf72ae5103	296.0	0.0	135.0	0.0
73fafa9f3d7acfaa5a1917c47829906f	0.0	104.0	14.0	313.0
d642356d338fa513beddc60a78e01ac9	429.0	0.0	0.0	0.0
6ed81579ed9b2ab1ae435f85725f4b2e	0.0	194.0	0.0	235.0
3961e6fa2b092c5fb9a20d8f890ba1e7	255.0	0.0	173.0	0.0
fef40cf8699e5ee6daa7db81486fbf14	154.0	0.0	264.0	0.0
8a892fa8945ae124347eb0151bf9af87	0.0	0.0	412.0	0.0
8842d8a7c3b96549147283108668f238	174.0	0.0	231.0	0.0
8947c79ccc44ab45a99df1125be83d1f	194.0	35.0	175.0	0.0
ffb2a38f67cd3f2260b8cf13fa9d782c	215.0	0.0	187.0	0.0
64911167fc3c8c8227797f2012db5ff2	0.0	0.0	402.0	0.0
9d5da525ebc896db9de41b58c0d2ad07	151.0	0.0	249.0	0.0
8ebd6762a7980fc616024d0882459143	0.0	337.0	0.0	63.0
55e1b7c9cc9e6238a22c2a77db9e125a	114.0	0.0	282.0	0.0
3fca47a15cf6309e0a70e4f6f02446ca	396.0	0.0	0.0	0.0
e6bbe129b96d8996b93df67a05266cd3	0.0	276.0	0.0	119.0
f82e19c78d8e9ca5037547cc01d5d25c	84.0	34.0	262.0	13.0
314b1744a93e223f9c56402a2d42d92f	179.0	0.0	208.0	0.0
f810832c1c7ecae2edbd048e16da8960	0.0	191.0	0.0	196.0
c6239a354b025c65a80a97e38b8d75f8	206.0	0.0	179.0	0.0
c08ea4a0ec88ee1e9cc962d48d748ab7	0.0	0.0	0.0	385.0
df68df6c439ec5d9692d70bb26b7e53f	0.0	311.0	0.0	68.0
ab24b49b20944580052a7c4dc309b4e3	0.0	225.0	0.0	153.0
88a827339f1e78784e2e4a2f4831b050	161.0	0.0	216.0	0.0
795cf08a6a801cd842405e6f47b38c37	123.0	0.0	250.0	0.0
270f660642be002ccd579009f5dafce8	139.0	0.0	0.0	232.0
83010299e533702f9b8c0b50d081405d	0.0	157.0	0.0	212.0
f475f1103fe3d7b26b657caca88d2eef	158.0	0.0	209.0	0.0
7a9427f9ef9787a7428175f9971c357a	0.0	0.0	0.0	367.0
6e241dacae5a1cf11ecfff1ac1093b5d	190.0	0.0	175.0	0.0
abe1ed8af242335e8bee925f8dbcd194	0.0	0.0	364.0	0.0
a9db1b68e1bb6748beb5bf3f1d1f4966	0.0	214.0	0.0	149.0
2255b07538a28a6416ae337843bac54e	362.0	0.0	0.0	0.0
94ef4dbf17d47b4463862ef6f8bbe926	0.0	190.0	0.0	171.0
5354dbfade10fff992471f96ccc13f3e	0.0	151.0	0.0	207.0
26c6e3ed14694582e207478c1f23c21f	77.0	98.0	65.0	115.0
f85f3795f07958c8be559b3b4447cdfa	0.0	0.0	0.0	353.0
1b4ffcd6215bb94e24a983a9251da3eb	194.0	0.0	158.0	0.0
4cc817431b3c62a5fc9a845599d17ac5	0.0	76.0	0.0	276.0
11f26f22981787f51b8567793a56ef92	195.0	0.0	154.0	0.0
783339cbdbba2d55ed305b2612bb12de	93.0	150.0	106.0	0.0
742e05c94b6b3e7b544d376ac549fdbf	80.0	0.0	268.0	0.0
868e0165fe32a8925b7f20afa5e1dbfc	0.0	0.0	0.0	348.0
a9b0bb83169672adbbbad33555cf472f	205.0	0.0	142.0	0.0
21a01273d07afff71c0d5d4f3e6e2334	180.0	0.0	165.0	0.0
3ff6236d89e1e5cb192f823b9bf09c00	177.0	0.0	162.0	0.0
45762021845bcffe18e38cfccafbc01f	0.0	0.0	243.0	96.0
59364744507fc064189cc76039389725	0.0	0.0	334.0	0.0
14a0317cf248034260441d4b1d894eb3	200.0	0.0	133.0	0.0
855f8da01434caa604f8c28bcaeffc48	7.0	16.0	0.0	309.0
d9431c65d1e5f220691b7f1d826ee05a	0.0	206.0	0.0	126.0
a2bbf25303559235d53c584cd9729a61	0.0	0.0	0.0	332.0
469e4e0dd8ca85be6d120fff4be2dbc5	0.0	167.0	0.0	162.0
cc01e8f46656ca8d48221f0d5c9be19c	191.0	0.0	137.0	0.0
3d4cbe28beac502037e6d096c27f823e	94.0	0.0	230.0	0.0
697c6e3f65ca5f8feada99fa9ed92023	99.0	0.0	225.0	0.0
326a59430e47f20c7a1ce0881b3034f3	323.0	0.0	0.0	0.0
47e7db8be266ba2de89d6897b03ae7d4	202.0	0.0	118.0	0.0
45246468947d1e96ed0935ea56c33fd2	178.0	0.0	138.0	0.0
af33162a5601a08e418fda6e4e5b081a	174.0	0.0	141.0	0.0
9b59d5e06e67043331a9a0f32687ba9f	0.0	153.0	0.0	162.0
eeef88e1f391d75cae6091d907a86cee	0.0	157.0	0.0	157.0
cf50468514e6e669e7e20e17fd92ddeb	0.0	283.0	0.0	28.0
348974ec62c81f9e77ec674044fb62f6	55.0	0.0	254.0	0.0
73e5098a1121df23d28ff1fbd19040ca	0.0	262.0	0.0	46.0
d78652e3c96f4926fd67fb6118c43344	0.0	306.0	0.0	0.0
41bd400bb46f179717b2f3509ceb7619	0.0	200.0	33.0	72.0
36b97543fe5f44e30f46474e8c99f62e	302.0	0.0	0.0	0.0
0e871b28d1ca50fdbcefbbb48a65051f	0.0	233.0	0.0	69.0
30791e0ca69c82db5ccfdb46a7ec8e1b	159.0	0.0	139.0	0.0
3fae36e8edcfca65aa41025860df1779	298.0	0.0	0.0	0.0
554345c10941538d3c323777253ee02d	130.0	0.0	167.0	0.0
8f62bdbd8b6a175b71db33bd6f42ccd5	134.0	0.0	160.0	0.0
fa10df6bc6573bb93df60648dd42021d	122.0	0.0	168.0	0.0
b9c5559e875eba958a3ca127938c6cd1	165.0	55.0	68.0	0.0
b354a1e7a29c4f05aace7e65edc75c7f	0.0	0.0	0.0	288.0
c26776b3639a5895a45bf4e4341e9a52	287.0	0.0	0.0	0.0
0cb21c0e8301a7ceed2a6964381d2527	0.0	150.0	0.0	135.0
ad2d47fec3316b615e1a1544fe895cde	0.0	123.0	0.0	161.0
d2af9a887ca9c2d9c5547de04b766a49	177.0	0.0	105.0	0.0
e3a0a2d8316f0af7d48c8284931cc8e5	0.0	160.0	0.0	122.0
77171e5fc54dbbefc044ccc292762190	136.0	0.0	144.0	0.0
5fd1e78897ce7dd2b3cd74ce563f8fad	152.0	0.0	128.0	0.0
0382b21d7201fdd349f76ebec688684d	152.0	0.0	127.0	0.0
df3b21a9a4002ab2ac88e57bb5529744	169.0	31.0	75.0	0.0
a91765f6095711e8da6e422d4bb40ff0	116.0	0.0	159.0	0.0
c1133dc3eec75eea39b464d67a96a43b	78.0	0.0	196.0	0.0
207a009bc1446b3697ae55ac7ecca55b	0.0	272.0	0.0	0.0
6c8bee6c253f61e2a27ee6ac6acf8bdb	104.0	0.0	162.0	0.0
edb50924778dee3ad38be06d3f9c6cae	0.0	156.0	0.0	109.0
951180441606a5659125aefd6aba52bd	148.0	0.0	115.0	0.0
f467dbb9d41436de919e5ca26585cbeb	0.0	0.0	0.0	262.0
2f580f72d4ed72c161cc30d15e3f9747	190.0	0.0	71.0	0.0
4afb98bee9d410636395ee7fa7d3eb85	116.0	0.0	144.0	0.0
f97a42ad40aa67f7d5d286dff1263943	0.0	112.0	0.0	147.0
9509fe398c76e957bc4d89a80b568833	257.0	0.0	0.0	0.0
3b9b10aae397fa4c0737f9bb2d135ce3	151.0	0.0	104.0	0.0
9d4796004462ab2566dea92a953f8cd3	0.0	178.0	0.0	76.0
05af43ff632b8912fc76b9c5b4a5b567	110.0	0.0	143.0	0.0
e216bde916d6ceb1565c84cda46cb75d	107.0	0.0	144.0	0.0
fc1644c1da5653e8d1276bebb28bf10a	0.0	95.0	0.0	154.0
570cf7b59bd604b5fdfc7bc3a369a20f	138.0	0.0	110.0	0.0
6cdc997e4153831c6b77748e08426865	77.0	0.0	170.0	0.0
8f40c762d6806c84856b32f9163eef9f	0.0	242.0	0.0	0.0
6d493c22811756223f63e88f2db606a8	0.0	0.0	242.0	0.0
8d5488a2f1bab7015d17b7f843c9cbc9	0.0	0.0	241.0	0.0
2bd6bac92aca88ac052ed019aebab79f	163.0	0.0	74.0	0.0
5c1cd1033b5c9ffda62235b5e6b5d506	163.0	0.0	74.0	0.0
8cb1d8cb02b9cb949833c27f8c765d47	133.0	0.0	100.0	0.0
f2863d470e0c900a0e8600b671d2cdc6	70.0	0.0	160.0	0.0
954dd407030798070ae043ad2cf2c44a	0.0	0.0	227.0	0.0
eec7b9d2960cae51621af3eead708582	0.0	167.0	0.0	57.0
2fd0718ed190d6f1a397aaadf569f4f3	0.0	224.0	0.0	0.0
05e3c67d1ada7a8d11fe258fac78017b	0.0	148.0	0.0	75.0
2f9bddc29fe8232c9d7bfa1b683ac7fe	154.0	0.0	68.0	0.0
c56096ed1d08e5a271aaf6af9dd05eb4	106.0	0.0	114.0	0.0
a60b6cba586ed7cf030e3b780d7a8086	100.0	0.0	120.0	0.0
77cb998a26fa8b65ffa54c9dceca27ab	138.0	0.0	80.0	0.0
657d8ef99ea123dbba7e4f290921d3fe	0.0	218.0	0.0	0.0
f28d3c0226cf30004a2e6beb2bf50b47	217.0	0.0	0.0	0.0
783201ee227aeb2a321dd7547c8daec0	217.0	0.0	0.0	0.0
997acf69f720a916b2d5e6fd54acda5d	0.0	0.0	217.0	0.0
5ec74907e850b289f54b715cf529443d	0.0	210.0	0.0	0.0
27bf6317102cf29a2589ed95b83bdfda	209.0	0.0	0.0	0.0
33500196fe8c2d3c3539cd0f4c3c3be6	0.0	80.0	0.0	128.0
263cb2d4892f5d06953ca2454c43d5c3	107.0	0.0	100.0	0.0
7e3d9be994bdb139b01d38c13e335089	0.0	63.0	0.0	144.0
8612a638846acf832935cb932a1f0398	0.0	43.0	48.0	115.0
fcc6a157c9ff761ba4dcdbb663599032	0.0	117.0	0.0	89.0
